,set_num,name,year,theme_id,num_parts
135,10150-1,Assorted Brown Plates,2004,254,42
136,10151-1,Hot Rod,2004,278,420
137,10152-1,Maersk Sealand Container Ship 2004 Edition,2004,276,982
138,10152-2,Maersk Sealand Container Ship 2005 Edition,2005,276,982
139,10152-3,Maersk Line Container Ship 2006 Edition,2006,276,982
140,10153-1,Electric Train Motor 9V (My Own Train),2002,244,3
141,10155-1,Maersk Line Container Ship 2010 Edition,2010,276,984
142,10156-1,LEGO Truck,2004,85,105
143,10157-1,High Speed Train Locomotive,2004,239,134
144,10158-1,High Speed Train Car,2004,239,151
145,10159-1,City Airport -City Logo Box,2004,53,913
146,10159-2,City Airport -Full Size Image Box,2004,68,913
147,10160-1,Black Ridge Roof Tiles,2004,254,48
148,10161-1,Black Roof Tiles,2004,254,76
149,10162-1,Red Ridge Tiles,2004,254,48
150,10163-1,Red Roof Tiles,2004,254,76
151,10165-1,Elf Boy,2004,227,27
152,10166-1,Elf Girl,2004,227,31
153,10167-1,Brickmaster Kit (with Digital Designer CD),2004,301,182
154,10168-1,Mrs. Bunny,2005,229,64
155,10169-1,Chicken & Chicks,2005,229,60
156,10170-1,TTX Intermodal Double-Stack Car,2005,236,365
157,10173-1,Holiday Train,2006,236,969
158,10174-1,Imperial AT-ST - UCS,2006,174,1070
159,10175-1,Vader's TIE Advanced - UCS,2006,174,1211
160,10176-1,Royal King's Castle,2006,197,871
161,10177-1,Boeing 787 Dreamliner,2006,276,1196
162,10178-1,Motorized Walking AT-AT,2007,169,1137
163,10179-1,Millennium Falcon - UCS,2007,174,5195
164,10181-1,Eiffel Tower 1:300 Scale,2007,276,3428
165,10182-1,Cafe Corner,2007,155,2058
166,10183-1,Hobby Train,2007,397,1080
167,10184-1,Town Plan,2008,104,2017
168,10185-1,Green Grocer,2008,155,2358
169,10186-1,General Grievous,2008,173,1084
170,10187-1,Volkswagen Beetle (VW Beetle),2008,276,1625
171,10188-1,Death Star,2008,174,3807
172,10189-1,Taj Mahal,2008,276,5922
173,10190-1,Market Street,2007,155,1250
174,10191-1,Star Justice,2008,397,884
175,10192-1,Space Skulls,2008,397,956
176,10193-1,Medieval Market Village,2009,193,1616
177,10194-1,Emerald Night,2009,240,1089
178,10195-1,Republic Dropship with AT-OT,2009,165,1757
179,10196-1,Grand Carousel,2009,276,3260
180,10197-1,Fire Brigade,2009,155,2236
181,10198-1,Tantive IV,2009,169,1408
182,10199-1,Winter Toy Shop,2009,227,815
184,10200-1,Custom Car Garage,2008,397,893
185,10201-1,Takutanuva,2003,347,3
186,10202-1,Ultimate Dume (Limited Edition with Exclusive Mask Of Power),2004,347,6
187,10202-2,Ultimate Dume,2004,347,3
188,10203-1,Voporak,2005,347,3
189,10204-1,Vezon & Kardas,2006,347,3
190,10205-1,Locomotive,2002,238,231
192,10210-1,Imperial Flagship,2010,153,1623
193,10211-1,Grand Emporium,2010,155,2186
194,10212-1,Imperial Shuttle - UCS,2010,174,2502
195,10213-1,Shuttle Adventure,2010,276,1203
196,10213sup-1,Supplemental Pack for Shuttle Adventure Set 10213,2010,443,29
197,10214-1,Tower Bridge,2010,276,4295
198,10215-1,Obi-Wan's Jedi Starfighter - UCS,2010,175,675
199,10216-1,Winter Village Bakery,2010,227,686
228,1024601-1,Adventurers Value Pack (TRU Exclusive),2001,297,3
241,10287-1,Intelligent NXT Brick (Black),2009,259,1
242,1029-1,Milk Delivery Truck - Tine,1999,75,90
290,1054-1,Stena Line Ferry,1999,471,211
348,1061-1,Single Disk Pack,2000,20,1
385,1068-1,Air Patrol,1999,87,20
393,1069-1,Speedboat,1999,77,22
404,1070-1,Stunt Flyer,1999,87,20
434,1076-1,Advent Calendar 1999,1999,207,228
435,1076-10,Advent Calendar 1999 (Day  9) Fire Engine,1999,217,10
436,1076-11,Advent Calendar 1999 (Day 10) Santa Minifig,1999,217,5
437,1076-12,Advent Calendar 1999 (Day 11) Dog,1999,217,8
438,1076-13,Advent Calendar 1999 (Day 12) Hippo,1999,217,9
439,1076-14,Advent Calendar 1999 (Day 13) Hovercraft,1999,217,10
440,1076-15,Advent Calendar 1999 (Day 14) Penguin,1999,217,8
441,1076-16,Advent Calendar 1999 (Day 15) Elf,1999,217,12
442,1076-17,Advent Calendar 1999 (Day 16) Seaplane,1999,217,10
443,1076-18,Advent Calendar 1999 (Day 17) Gentleman,1999,217,10
444,1076-19,Advent Calendar 1999 (Day 18) Elephant,1999,217,10
445,1076-2,Advent Calendar 1999 (Day  1) Plane,1999,217,11
446,1076-20,Advent Calendar 1999 (Day 19) Sea Plane,1999,217,8
447,1076-21,Advent Calendar 1999 (Day 20) Cow,1999,217,10
448,1076-22,Advent Calendar 1999 (Day 21) Police Car,1999,217,11
449,1076-23,Advent Calendar 1999 (Day 22) Dog with Red Hat,1999,217,12
450,1076-24,Advent Calendar 1999 (Day 23) Police Helicopter,1999,217,10
451,1076-25,Advent Calendar 1999 (Day 24) Santa,1999,217,11
452,1076-3,Advent Calendar 1999 (Day  2) Snowman,1999,217,11
453,1076-4,Advent Calendar 1999 (Day  3) Speedboat,1999,217,7
454,1076-5,Advent Calendar 1999 (Day  4) Girl,1999,217,8
455,1076-6,Advent Calendar 1999 (Day  5) Sailboat,1999,217,9
456,1076-7,Advent Calendar 1999 (Day  6) Reindeer,1999,217,12
457,1076-8,Advent Calendar 1999 (Day  7) Plane,1999,217,10
458,1076-9,Advent Calendar 1999 (Day  8) Girl,1999,217,8
483,1088-1,Road Burner,1999,87,25
488,1094-1,Johnny Thunder,1999,297,13
489,1095-1,Super Sub,1999,311,24
490,1096-1,Race Buggy,1997,82,23
491,1097-1,Res-Q Runner,1999,92,18
492,1098-1,Hang Glider,1998,87,19
493,1099-1,Ninja Blaster,1999,434,24
495,1100-1,Sky Pirates,2001,68,110
500,1103-2,DNA Student Set,2008,517,521
504,1106-2,Basic Building Set,1999,470,413
530,1127-1,Santa,1999,227,39
531,1128-1,Santa on Skis,1997,227,21
533,1129-2,Santa on Reindeer,1999,227,34
560,1149-1,Air Police,2002,100,24
584,1177-1,Santa In Truck with Polar Bear,2000,227,26
587,1180-1,Space Port Moon Buggy,1999,93,25
589,1181-1,Space Port Spacecraft,1999,93,23
591,1182-1,Adventurers Raft,1999,297,18
593,1183-1,Mummy and Cart,1999,297,17
594,1184-1,Cart,1999,434,24
595,1185-1,Raft,1999,434,25
596,1186-1,Cart,1999,434,25
597,1187-1,Glider,1999,434,23
598,1188-1,Fire Formula,1999,87,38
599,1189-1,Rocket Boat,1999,87,30
600,1190-1,Retro Buggy,1999,87,90
606,1191-1,Try Bird,1999,87,34
608,1194-1,Classic Building Table,1999,470,408
609,1195-1,Alien Encounter,2001,135,42
610,1196-1,Biker with Bicycle,2000,458,7
611,1197-1,Telekom Race Cyclist and Television Motorbike,2000,458,30
613,1198-1,Service Team - 2 Bikers with Service Tools,2000,458,76
614,1199-1,Winning Team,2000,458,110
620,1202-1,racer polybag,2001,125,1
691,1237-1,Honda Promotional Set,2001,14,55
692,1239-1,Subzero,2001,125,4
706,1246-1,Helicopter,1999,50,26
707,1247-1,Patrol Car,1999,50,32
709,1248-1,Fire Boat,1999,50,24
711,1249-1,Tri-motorbike,1999,60,17
712,1250-1,Dragster,1999,91,24
714,1251-1,Go-Cart,1999,91,25
716,1252-1,Shell Tanker,1999,99,106
717,1253-1,Shell Car Transporter,1999,99,101
718,1254-1,Shell Select Shop,1999,99,164
719,1255-1,Shell Car Wash,1999,99,136
720,1256-1,Shell Petrol Pump,1999,99,156
721,1257-1,Trike Buggy,1999,13,30
722,1258-1,Propellor Buggy,1999,11,29
723,1259-1,Motorbike,1999,13,28
724,1260-1,Car,1999,12,26
727,1263-1,Easter Bunny,2000,229,29
728,1264-1,Easter Chicks,2000,229,29
729,1265-1,Moon Buggy,1999,93,25
730,1266-1,Space Probe,1999,93,23
732,1268-1,Bike Blaster,1999,13,28
733,1269-1,White Ninja,1999,434,23
734,1270-2,Trial Size Bag - Chromika,2005,37,16
736,1271-1,Jungle Surprise,1999,299,33
738,1272-1,Blue Racer,2000,91,23
739,1273-1,Red Four Wheel Driver,2000,91,20
740,1274-1,Light Hover,2000,442,25
741,1275-1,{Rock Saw Vehicle},2000,442,22
742,1276-1,Helicopter Transport,2000,442,22
743,1277-1,Drill Craft,2000,442,27
744,1278-1,Johnny Thunder & Baby T,2000,298,23
745,1279-1,Aeroplane,2000,298,21
746,1280-1,Microcopter,2000,298,28
748,1281-1,Aeroplane,2000,298,25
750,1282-1,Blue Racer,2000,91,23
752,1283-1,Red Four Wheel Driver,2000,91,20
753,1284-1,Green Buggy,2000,91,23
754,1285-1,Yellow Tiger,2001,91,23
755,1286-1,King Leo's Cart,2000,197,22
756,1287-1,Crossbows,2000,197,16
757,1288-1,Fire Cart,2000,197,24
758,1289-1,Catapult,2000,197,23
759,1290-1,Kabaya Promotional Set: Red (Volcano Climber) RoboRider,2000,16,35
760,1291-1,Power Bike,2000,16,32
761,1292-1,Kabaya Promotional Set: White (Ice Explorer) RoboRider,2000,16,33
762,1293-1,Kabaya Promotional Set: Yellow/Green (Swamp Craft) RoboRider,2000,16,25
763,1294-1,Fire Helicopter,2000,50,31
764,1295-1,Water Rider,2000,87,30
765,1296-1,Land Scooper,2000,50,30
766,1297-1,Speed Patroller,2000,50,34
767,1298-1,Advent Calendar 1998 Classic Basic,1998,212,24
768,1298-10,Advent Calendar 1998 Classic Basic (Day  9) Whale,1998,221,9
769,1298-11,Advent Calendar 1998 Classic Basic (Day 10)  Steamboat,1998,221,12
770,1298-12,Advent Calendar 1998 Classic Basic (Day 11) Boat,1998,221,8
771,1298-13,Advent Calendar 1998 Classic Basic (Day 12) Airplane,1998,221,12
772,1298-14,Advent Calendar 1998 Classic Basic (Day 13) Santa,1998,221,5
773,1298-15,Advent Calendar 1998 Classic Basic (Day 14) Airplane,1998,221,9
774,1298-16,Advent Calendar 1998 Classic Basic (Day 15) Green Elf,1998,221,9
775,1298-17,Advent Calendar 1998 Classic Basic (Day 16) Boat,1998,221,8
776,1298-18,Advent Calendar 1998 Classic Basic (Day 17) Mouse,1998,221,9
777,1298-19,Advent Calendar 1998 Classic Basic (Day 18) Blue Elf,1998,221,10
778,1298-2,Advent Calendar 1998 Classic Basic (Day  1)  Airplane,1998,221,10
779,1298-20,Advent Calendar 1998 Classic Basic (Day 19) Boat,1998,221,9
780,1298-21,Advent Calendar 1998 Classic Basic (Day 20) Helicopter,1998,221,11
781,1298-22,Advent Calendar 1998 Classic Basic (Day 21) Red Elf,1998,221,9
782,1298-23,Advent Calendar 1998 Classic Basic (Day 22) Police Boat,1998,221,9
783,1298-24,Advent Calendar 1998 Classic Basic (Day 23) Truck,1998,221,10
784,1298-25,Advent Calendar 1998 Classic Basic (Day 24) Airplane,1998,221,10
785,1298-3,Advent Calendar 1998 Classic Basic (Day  2) Santa,1998,221,5
786,1298-4,Advent Calendar 1998 Classic Basic (Day  3) Boat,1998,221,9
787,1298-5,Advent Calendar 1998 Classic Basic (Day  4) Boat,1998,221,10
788,1298-6,Advent Calendar 1998 Classic Basic (Day  5) Sailboat,1998,221,10
789,1298-7,Advent Calendar 1998 Classic Basic (Day  6) Airplane,1998,221,10
790,1298-8,Advent Calendar 1998 Classic Basic (Day  7) Helicopter,1998,221,8
791,1298-9,Advent Calendar 1998 Classic Basic (Day  8) Airplane,1998,221,9
843,1349-1,Steven Spielberg Moviemaker Set,2000,273,447
845,1351-1,Movie Backdrop Studio,2001,273,211
846,1352-1,Explosion Studio,2000,273,237
847,1353-1,Car Stunt Studio,2001,273,168
848,1354-1,Dino Head Attack,2000,273,95
849,1355-1,Temple of Gloom,2000,273,58
850,1356-1,Stuntman Catapult,2001,273,29
851,1357-1,Cameraman,2001,273,21
852,1360-1,Director's Copter,2001,273,22
854,1361-1,Camera Car,2001,273,20
855,1362-1,Air Boat,2001,273,24
856,1363-1,Stunt Go-Cart,2001,273,25
857,1370-1,Raptor Attack Studio,2001,274,157
859,1371-1,Spinosaurus Attack Studio,2001,274,186
861,1374-1,Green Goblin,2002,488,59
862,1376-1,Spider-Man Action Studio,2002,488,249
863,1380-1,Werewolf Ambush,2002,273,114
865,1381-1,Vampire's Crypt,2002,273,171
866,1382-1,Scary Laboratory,2002,273,500
867,1383-1,Curse of the Pharaoh,2002,273,52
868,1385-1,Clikits Bracelet Sample Set,2003,500,13
869,1386-1,Clikits Bracelet Sample Set,2004,500,13
870,1388-1,Huki [McDonald's Promo Set #1],2001,355,8
871,1389-1,Onepu [McDonald's Promo Set #2],2001,355,8
872,1390-1,Maku [McDonald's Promo Set #3],2001,355,8
874,1391-1,Jala [McDonald's Promo Set #4],2001,355,8
875,1392-1,Kongu [McDonald's Promo Set #5],2001,355,8
876,1393-1,Matoro [McDonald's Promo Set #6],2001,355,8
881,1411-1,Pirate's Treasure Hunt (Quaker Oats promo),2001,273,35
882,1413-1,Rover,2001,135,29
883,1414-1,Double Hover (Kabaya Promotional),2001,135,21
884,1415-1,Jet Scooter,2001,135,24
885,1416-1,Worker Robot,2001,135,30
886,1417-1,Vakama,2001,356,28
887,1417-2,Vakama (bagged),2003,356,28
888,1418-1,Matau,2001,356,25
889,1419-1,Nokama (Kabaya Promotional),2001,356,27
890,1420-1,Nuju,2001,356,29
891,1421-1,Director's Copter (Kabaya Promotional),2001,273,22
892,1422-1,Camera Cart (Kabaya Promotional),2001,273,20
893,1423-1,Air Boat (Kabaya Promotional),2001,273,24
894,1424-1,Stunt Go-Kart (Kabaya Promotional),2001,273,25
895,1425-1,Dash Jet Sub,2002,305,23
896,1426-1,Cam Wing Diver,2002,305,21
897,1427-1,Ogel Marine Slizer,2002,305,21
898,1428-1,Small Soccer Set 1 (Kabaya Box),2002,462,24
899,1428-2,Small Soccer Set 1 (Polybag),2002,462,20
900,1429-1,Small Soccer Set 2 (Kabaya Box),2002,462,19
901,1429-2,Small Soccer Set 2 (Polybag),2002,462,19
903,1430-1,Small Soccer Set 3 (Kabaya Box),2002,462,12
904,1430-2,Small Soccer Set 3 (Polybag),2002,462,13
905,1431-1,Tahnok Va (Kabaya Promotional),2002,329,27
906,1432-1,Nuhvok Va (Kabaya Promotional),2002,329,26
907,1433-1,Gahlok Va (Kabaya Promotional),2002,329,26
908,1434-1,Lehvak Va (Kabaya Promotional),2002,329,25
909,1435-1,Super Glider (Kabaya Promotional),2002,282,7
910,1436-1,Ultralight Flyer (Kabaya Promotional),2002,282,16
911,1437-1,Turbo Chopper (Kabaya Promotional),2002,282,13
913,1441-1,Fikou (Tree-Spider),2003,324,13
916,1461-1,Turbo Force,1992,82,31
917,1462-1,Galactic Scout,1992,129,23
918,1463-1,Treasure Cart,1992,190,24
919,1464-1,Pirate Lookout,1992,148,17
926,1474-1,Basic Building Set with Gift Item,1991,467,69
927,1475-1,Airport Security Squad,1991,68,128
928,1477-1,{Red Race Car Number 3},1991,82,39
929,1478-1,Mobile Satellite Up-Link,1991,136,31
930,1479-1,2-Pilot Craft,1991,129,34
931,1480-1,King's Catapult,1991,190,33
933,1481-1,Desert Island,1991,148,24
938,1491-1,Dual Defender,1992,188,49
939,1492-1,Battle Cove,1992,148,27
963,1520-2,Town 2 for 1 Bonus Offer,1990,67,2
975,1545-1,Build-A-Rabbit,1992,229,29
977,1547-1,Black Knights Boat,1993,188,58
978,1548-1,Stena Line Ferry,1992,471,173
979,1549-1,Santa and Chimney,1992,227,62
992,1560-1,Glory Glider,1990,68,26
996,1561-1,Stunt Chopper,1990,68,30
999,1562-1,Wave Jumper,1990,77,25
1002,1563-1,Track Blaster,1990,82,30
1014,1581-2,Delivery Truck,1990,75,122
1025,1596-1,Ghostly Hideout,1993,203,37
1026,1597-1,Castle 3-Pack,1993,186,3
1032,1603-1,Trial Size Imagination,1993,467,13
1040,1610-1,Police Car,1991,80,23
1043,1611-1,Dune Buggy,1991,79,21
1050,1620-1,Astro Dart,1990,132,30
1053,1621-1,Lunar MPV Vehicle,1990,132,96
1054,1624-1,King's Archer,1993,188,22
1059,1630-1,Helicopter,1990,68,27
1061,1631-1,Black Racer,1990,82,23
1062,1632-1,Motor Boat,1990,77,28
1063,1633-1,Loader Tractor,1990,72,24
1064,1636-1,Small Bucket,1990,467,185
1065,1637-1,Large Bucket,1990,467,493
1066,1638-1,Blue Bucket,1990,467,444
1067,1639-1,Large Bucket,1990,467,673
1070,1642-2,"Lego Motion 3B, Sea Eagle - International version",1994,468,15
1073,1644-2,"Lego Motion 4A, Wind Whirler - International version",1994,468,17
1076,1646-2,"Lego Motion 3A, Land Laser - International version",1994,468,17
1080,1649-2,"Lego Motion 4B, Sea Skimmer - International version",1994,468,17
1083,1651-1,Basic Building Set Trial Size,1993,467,30
1085,1652-1,Basic Set,1994,467,44
1087,1656-1,Evacuation Team,1991,74,244
1090,1660-1,Kronprins Frederik Ferry,1996,471,164
1095,1665-1,Dual FX Racers,1990,82,108
1096,1666-1,Brick Vac,1991,467,140
1097,1668-1,Basic Building Set Trial Size,1992,469,30
1098,1670-1,Basic Building Set Trial Size,1992,469,28
1100,1675-1,LEGOLAND Triple Pack,1990,559,3
1101,1676-1,Basic Building Set,1990,467,22
1102,1677-1,Rabbit,1990,229,25
1103,1678-1,Basic Building Set Trial Size,1991,469,49
1104,1679-1,Basic Building Set,1990,467,43
1105,1680-1,Hay Cart with Smugglers,1990,194,67
1106,1682-1,Space Shuttle,1990,68,419
1107,1687-1,Midnight Transport,1993,68,271
1108,1688-1,Large Bucket for Her,1993,467,216
1109,1690-1,Helicopter,1990,68,27
1110,1693-1,Turbo Force,1992,82,26
1111,1694-1,Galactic Scout,1992,129,23
1112,1695-1,Treasure Chest,1992,190,24
1113,1696-1,Pirate Lookout,1992,148,17
1114,1698-1,Basic Building Set Trial Size,1991,469,26
1115,1699-1,Small Bucket,1993,467,183
1118,1701-1,Basic Building Set Trial Size,1994,467,26
1119,1702-1,Fire Fighter 4 x 4,1994,74,59
1120,1703-1,Dalmatian Station Building Set,1994,467,181
1121,1704-1,Ice Planet Satellite Plough,1994,133,47
1122,1705-1,Large Dinosaur Bucket,1994,467,327
1123,1708-1,Large Bucket,1994,469,665
1124,1710-1,Snowmobile,1994,79,24
1126,1711-1,Ice Planet Scooter,1994,133,19
1127,1712-1,Crossbow Cart,1994,186,23
1128,1713-1,Shipwrecked Pirate,1994,148,23
1129,1714-1,Surveillance Scooter,1995,142,23
1130,1715-1,Special Value,1995,473,400
1131,1715-2,Basic Bricks,1995,254,400
1132,1716-1,Starter Set with Building Plates,1994,467,201
1133,1719-1,Freestyle Bricks and Plates,1995,399,199
1134,1720-1,Cactus Canyon Value Pack,1994,83,3
1135,1721-1,Sandypoint Marina Value Pack,1994,83,3
1136,1722-1,Rescue / Ice Planet Combi Pack,1994,559,2
1137,1723-1,Castle / Pirates Combi Pack,1994,559,2
1138,1724-1,Bird,1994,468,9
1139,1725-1,Dinosaur,1994,468,11
1140,1726-1,Girl,1994,468,7
1141,1727-1,Horse,1994,468,10
1142,1728-1,Crystal Crawler,1996,308,97
1143,1729-1,Barnacle Bay Value Pack,1994,148,3
1144,1730-1,Snow Scooter,1994,79,24
1145,1731-1,Ice Planet Scooter,1994,133,19
1146,1732-1,Crossbow Cart,1994,186,23
1147,1733-1,Shipwrecked Pirate,1994,148,23
1148,1736-1,Wizard's Cart,1995,186,18
1149,1737-1,Scorpion Detector,1996,131,195
1150,1740-1,Kayak,1994,83,16
1151,1741-1,Car,1994,83,36
1152,1742-1,Van,1994,83,81
1153,1743-1,"Box of Standard Bricks, 5+",1995,473,400
1154,1745-1,"Box of Standard Bricks, 3+",1995,473,404
1155,1746-1,Wiz the Wizard,1995,186,18
1156,1747-1,Treasure Surprise,1996,148,25
1157,1749-1,Paravane,1996,308,16
1158,1750-1,Renault Formula 1 Racer,1992,82,32
1159,1752-1,Boat with Armour,1996,201,21
1160,1756-1,{Basic Promotional Set},1995,468,8
1161,1758-1,{Basic Promotional Set},1995,468,7
1162,1760-1,Go-Cart,1995,82,21
1163,1761-1,Paradisa Speedboat,1995,90,21
1164,1762-1,Go-Cart,1995,82,21
1165,1766-1,Small Freestyle Bucket,1995,399,109
1166,1767-1,{Basic Promotional Set},1995,468,6
1167,1768-1,{Basic Promotional Set},1995,468,9
1168,1769-1,Aircraft,1992,466,23
1169,1772-1,Airport Container Truck,1991,68,79
1170,1773-1,Airline Maintenance Vehicle with Trailer,1996,68,108
1171,1774-1,Aircraft,1991,68,139
1172,1775-1,Jet,1994,68,161
1173,1776-1,Large Bulk Bucket,1996,469,950
1174,1777-1,Sabah Promotional Set: Plane,1997,468,10
1175,1778-1,Sabah Promotional Set: Boat,1997,468,9
1176,1779-1,Sabah Promotional Set: Helicopter,1997,468,10
1177,1782-1,Discovery Station,1997,86,329
1178,1785-1,Introducing Crater Critters,1995,126,146
1179,1786-1,Jailbreak Joe,1995,80,189
1180,1787-1,Crater Cruiser,1995,145,183
1181,1788-1,Treasure Chest,1995,148,165
1182,1789-1,Star Hawk II,1995,145,292
1183,1790-1,Shark Fisherman,1994,83,20
1184,1791-1,Windsurfer & Van,1994,83,70
1185,1792-1,Pleasure Cruiser,1994,83,65
1186,1793-1,Space Station Zenon,1995,145,351
1187,1794-1,Dragon Master Chariot,1994,186,36
1188,1795-1,Imperial Cannon,1994,147,37
1189,1796-1,Freestyle Large Monster Bucket,1996,399,653
1190,1798-1,Building Table,1995,473,3
1193,1802-1,Tidy Treasure,1996,148,25
1194,1804-1,Crossbow Boat,1996,201,21
1195,1806-1,Underwater Scooter,1996,308,16
1196,1807-1,Santa Claus and Sleigh,1995,227,17
1197,1808-1,Light Aircraft and Ground Support,1996,68,121
1198,1809-1,Condor Promotional Airplane,1996,466,29
1200,1815-1,Paradisa Lifeguard,1996,90,38
1201,1817-1,Sea Plane with Hut and Boat,1996,83,134
1202,1818-1,Aircraft and Ground Support Equipment and Vehicle,1996,68,203
1203,1819-1,Large Bucket,1995,469,950
1205,1821-1,Rally Racers,1996,82,195
1206,1822-1,Sea Claw 7 / Neptune III,1995,308,191
1207,1823-1,Sabah Promotional Set: Yacht,1997,468,10
1208,1824-1,Flying Duck,1997,468,17
1209,1825-1,Racing Car,1997,468,19
1210,1826-1,Bird? Boat? Plane?,1997,468,21
1211,1827-1,Helicopter,1997,468,20
1212,1828-1,{Basic Promotional Set},1995,468,7
1214,1831-1,Maersk Line Container Lorry,1995,70,206
